YYYYMM,계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,전표 번호,전기일,증빙일,텍스트,거래처명,공급업체,금액_정제,차변/대변지시자
202601,지급수수료,지급수수료,55210133,지급수수료_교육훈련,F00500,공통_HR팀,3400001355,2026-01-30,2026-01-30,25.하반기 AI 교육_사외강사비 정산,,,3200000.0,S
202601,지급수수료,지급수수료,55210133,지급수수료_교육훈련,F00500,공통_HR팀,3400000895,2026-01-15,2026-01-15,FnF 26.01 겟스마트 플랫폼 사용비 정산,,,1400000.0,S
202601,지급수수료,지급수수료,55210133,지급수수료_교육훈련,F03900,공통_퍼포먼스마케팅팀,3300002857,2026-01-29,2026-01-29,26.1 직무 관련 서밋 참가 비용,,,500000.0,S
202601,지급수수료,지급수수료,55210133,지급수수료_교육훈련,F03900,공통_퍼포먼스마케팅팀,3300002852,2026-01-29,2026-01-29,26.1 직무 관련 서밋 참가 비용,,,500000.0,S
202601,지급수수료,지급수수료,55210133,지급수수료_교육훈련,F05200,공통_통합온라인채널팀,3300003147,2026-01-07,2026-01-07,HCI UX 2026 서밋 컨퍼런스 티켓 구매,,,176000.0,S
202601,지급수수료,지급수수료,55210133,지급수수료_교육훈련,F05200,공통_통합온라인채널팀,3300003147,2026-01-07,2026-01-07,HCI UX 2026 서밋 컨퍼런스 티켓 구매,,,176000.0,S
202601,지급수수료,지급수수료,55210133,지급수수료_교육훈련,F00500,공통_HR팀,3300005901,2026-01-23,2026-01-23,26.01 교육정산(송민지),,,90000.0,S
202601,지급수수료,지급수수료,55210133,지급수수료_교육훈련,F03900,공통_퍼포먼스마케팅팀,3300002812,2026-01-16,2026-01-16,직무교육 (AI교육),,,79200.0,S
202601,지급수수료,지급수수료,55210133,지급수수료_교육훈련,F00600,공통_공간기획팀,3300002471,2026-01-26,2026-01-26,업무관련 전시관람티켓 구매비용_리빙디자인페어,,,45000.0,S
202601,지급수수료,지급수수료,55210133,지급수수료_교육훈련,F02900,공통_AX팀,3300004537,2026-01-27,2026-01-27,AX팀 컨퍼런스 참가비 (퇴근 후 AI),,,30000.0,S
202601,지급수수료,지급수수료,55210133,지급수수료_교육훈련,F02900,공통_AX팀,3300004819,2026-01-19,2026-01-19,26.01 AX팀_마케팅 외부 세미나,,,30000.0,S
202601,지급수수료,지급수수료,55210133,지급수수료_교육훈련,F00600,공통_공간기획팀,3300005993,2026-01-29,2026-01-29,시장조사,,,19000.0,S
202601,지급수수료,지급수수료,55210133,지급수수료_교육훈련,F00600,공통_공간기획팀,3300005982,2026-01-29,2026-01-29,시장조사,,,16000.0,S
